Actor,Birthplace,Birthdate,Nationality,Ethnicity,Height,Weight,Tit Size,Cup Size,Measurements,Hair Color,Eye Color,Years Active,Alias
Jaclyn Taylor,"New Jersey, United States of America",1988-02-15,American,Caucasian,"5'3""",110,34,DD,34DD-25-31,Brown,Green,2014-present,None
Jai James,"Essex, England, United Kingdom",1994-01-27,British,Black,"5'3""",125.4,34,E,34E-26-36,Black,Brown,2017-present,None
Jana Fox,,,,,,,,,,,Hazel,,"'I Dream Of Jana', 'Jana Foxy', 'Jana Louise Grochoske (Birth Name)', 'Jana Rocks'"
Janey Doe,"Los Angeles, California, United States of America",1990-08-29,American,Caucasian,"5'6""",121,32,F,32F-24-34,Black,Brown,2019-present,None
Jasmine Jae,"Birmingham, England, United Kingdom",1981-08-31,British,Caucasian,"5'8""",125.4,32,E,32E-27-37,Black,Hazel,2012-present,"'Jasmin Jae', 'Jasmine Jai', 'Jazmine Jae'"
Jasmine James,"London, England, United Kingdom",1990-04-14,British,Caucasian,"5'4""",140.8,34,FF,34FF-26-36,Red,Blue,2008-present,None
Jenna Jones,"Red Deer, Alberta, Canada",1987-06-01,Canadian,Caucasian,"5'1""",114.4,32,DD,32DD-24-36,Blonde,Grey,2017-present,"'Jenna J.', 'Jenna Photodromm'"
Jenna Presley,"Chula Vista, California, United States of America",1987-04-01,American,Caucasian,"5'1""",94.6,32,E,32E-22-32,Brown,Green,2005-2012,"'Brittni De La Mora', 'Brittni Ruiz', 'Jenna Pressley'"
Jennifer Keelings,"Scotland, United Kingdom",1985-12-23,British,Caucasian,"4'11""",125,34,FF,34FF-25-35,Red,Green,2008-present,"'Jennifer Keeling', 'Jennifer Keelings', 'Jennifer Keellings', 'Jordan Price', 'Sasha Barbie'"
Jessa Rhodes,"Portland, Oregon, United States of America",1993-06-29,American,Caucasian,"5'6""",121,34,D,34D-29-36,Blonde,Blue,2012-present,'Jessica Rhodes'
Jesse Jane,"Fort Worth, Texas, United States of America",1980-07-16,American,Caucasian,"5'3""",116.6,32,D,32D-23-34,Blonde,Green,2003-2019,"'Cindy Taylor', 'Jessi Jane', 'Mistress Cindy Taylor'"
Jessica Jade,"Ottawa, Ontario, Canada",1983-06-16,Canadian,Caucasian,"5'6""",125,32,E,32E-26-35,Black,Blue,2019-present,None
Jessica Jaymes,"Anchorage, Alaska, United States of America",1979-03-08,American,Caucasian,"5'6""",110,32,E,32E-22-33,Brown,Hazel,2002-2019,"'Jessica James', 'Taylor Millen'"
Jessica Moy,Venezuela,1977-10-08,Venezuelan,Latin,"5'4""",,34,D,34D-24-34,Brown,Brown,2017-present,None
Jewels Jade,"San Diego, California, United States of America",1971-10-13,American,Caucasian,"5'3""",121,32,G,32G-24-34,Black,Brown,2001-present,'Jewels'
Jolee Love,"Berlin, Germany",1989-01-04,German,Caucasian,"5'9""",140.8,38,E,38E-35-39,Black,Brown,2017-present,None
Juelz Ventura,"Brasilia, Distrito Federal, Brazil",1987-07-31,Brazilian,Latin,"5'4""",114.4,32,DD,32DD-24-34,Brown,Green,2008-2017,"'Jeulz Ventura', 'Julez Ventura', 'Layna Laurel', 'Shayne St. Lucia'"
Kagney Linn Karter,"Houston, Texas, United States of America",1987-03-28,American,Caucasian,"5'4""",118.8,34,DD,34DD-25-36,Blonde,Blue,2008-present,"'Ivory', 'Kagney Carter', 'Kagney Lin Karter', 'Kagney Linn Carter', 'Kagney Linn Karlen', 'Kagney Linn Necessary', 'Kagney Lynn Karter', 'Kagny Linn Karter'"
Kandy Kaines,,1995-02-23,,,,,,,,,Hazel,,None
Karma Rx,"Fillmore, California, United States of America",1993-01-21,American,Caucasian,"5'3""",110,32,H,32H-24-36,Blonde,Green,2017-present,'Karma Palmer'
Karmen Karma,"Detroit, Michigan, United States of America",1991-08-05,American,Caucasian,"5'4""",125.4,34,DD,34DD-27-38,Brown,Green,2013-2016,"""Addison O'Reilly"", 'Addison Oriley', 'Karmen Karina'"
Kat Dior,"Los Angeles, California, United States of America",1993-08-16,American,Latin,"5'1""",101.2,34,DDD,34DDD-25-28,Brown,Brown,2012-present,None
Kataljna Kittin,United States of America,2000-04-20,American,Asian,"5'5""",101.2,30,DD,30DD-20-36,"Black, Brown, Blonde",Green,2020-present,'PinayPixie'
Katie Monroe,"Cleveland, Ohio, United States of America",1984-06-01,American,Caucasian,"5'8""",105,32,DDD,32DDD-25-32,Blonde,Blue,2017-present,None
Katie Morgan,"Los Angeles, California, United States of America",1980-03-17,American,Caucasian,"5'2""",105.6,34,D,34D-24-34,Blonde,Grey,2001-present,"'Kate Morgan', 'Katie Megan', 'Sarah Carradine'"
Katrina Jade,"Los Angeles, California, United States of America",1991-10-31,American,Caucasian,"5'2""",116.6,32,G,32G-24-34,Black,Brown,2014-present,'KJ Villain'
Katrina Moreno,"Montevideo, Uruguay",1989-12-12,Uruguayan,Latin,"5'5""",118.8,38,D,38D-24-38,Brown,Brown,2016-present,None
Katy Ann,"New York City, New York, United States of America",1990-02-22,American,Caucasian,"5'7""",130,32,J,32J-26-38,Blonde,Blue,2012-present,None
Kayla Carrera,"Chicago, Illinois, United States of America",1978-06-30,American,Latin,"5'8""",129.8,34,DD,34DD-26-36,Brown,Hazel,2007-2015,"'Kayla Carera', 'Kayla Carerra'"
Kayla Green,"Moscow, Russia",1983-08-26,Russian,Caucasian,"5'10""",132,34,D,34D-25-37,Blonde,Blue,2013-present,"'Yana', 'Yani'"
Kayla Kayden,"Syracuse, New York, United States of America",1988-09-06,American,Caucasian,"5'2""",99,32,DD,32DD-25-34,Blonde,Brown,2012-present,"'Kayla Lynn', 'Lacy Ann Spice', 'Lacy Spice'"
Kelly Lee,"Quebec, Canada",1989-04-17,Canadian,Caucasian,"5'4""",120,36,E,,Blonde,Brown,2014-2016,"'Emma', 'Lauren', 'Marie Monroe', 'Marie eve Lapierre'"
Kendall Karson,"Sacramento, California, United States of America",1988-03-28,American,Caucasian,"5'8""",112.2,32,D,32D-25-37,Brown,Green,2011-present,"'Ashley Youdan', 'Desiree', 'Kendal Karson', 'Lexxi Lane'"
Kendra Lust,"Madison Heights, Michigan, United States of America",1978-09-18,American,Caucasian,"5'3""",118.8,34,E,34E-25-37,Black,Brown,2012-present,"'Michele Anne Mason', 'Michele Anne Mason (née Magnan)'"
Kenzi Marie,"Ukiah, California, United States of America",1987-11-24,American,Caucasian,"5'0""",99,32,DD,32DD-22-34,Blonde,Brown,2007-2012,"'Kenzie Mari', 'Kenzie Marie', 'Kinzi Marie', 'Kinzie Marie'"
Kim Gold,"California, United States of America",1995-11-15,American,Latin,"5'1""",114.4,32,F,32F-24-34,Black,Brown,2016-2018,'Amelia Cox'
Kitana Lure,"Moscow, Russia",1990-04-20,Russian,Caucasian,"5'7""",134.2,34,D,34D-25-36,Black,Brown,2014-present,None
Kleio Valentien,"Austin, Texas, United States of America",1986-01-15,American,Caucasian,"5'6""",114.4,32,DD,32DD-24-33,Blonde,Hazel,2007-present,None
Krissy Lynn,"Salt Lake City, Utah, United States of America",1984-12-14,American,Caucasian,"5'2""",125.4,36,D,36D-24-34,Blonde,Blue,2007-present,'Chrissy Hines'
Krystal Webb,"Birmingham, England, United Kingdom",1985-05-19,United Kingdom,Caucasian,"5'3""",105.6,30,G,30G-24-32,Brown,Brown,2010-present,"'Krystal', 'Krystal Photodromm', 'Krystal Web', 'Rose', 'Zara Mae'"
Kylee Strutt,"British Columbia, Canada",1987-02-12,Canadian,Caucasian,"5'1""",118.8,34,E,34E-25-34,Red,Green,2008-2009,'Jada Julez'
Kyra Black,"Budapest, Hungary",1987-09-17,Hungarian,Caucasian,"5'4""",121,32,DD,32DD-25-37,Black,Brown,2007-present,"'Kara', 'Kira Black', 'Kyra B.', 'Toni'"
Kyra Hot,"Budapest, Hungary",1993-09-24,Hungarian,Caucasian,"5'4""",127.6,36,E,36E-25-36,Black,Blue,2013-present,"'Grace Joy', 'Kira Hot'"
Lara De Santis,"Bucharest, Romania",1978-10-01,Romanian,Caucasian,"5'4""",114.4,36,D,36D-27-36,Blonde,Blue,2010-present,"'Federica', 'Francesca', 'Lara', 'Lara DeSantis', 'Lara Hot', 'Luana', 'Marcazzi', 'Oana', 'Oana Tudose', 'Sabrina'"
Leigh Darby,"Manchester, England, United Kingdom",1980-03-02,British,Caucasian,"5'11""",138.6,34,G,34G-28-35,Brown,Blue,2012-2018,'Ultimate MILF'
Lela Star,"Miami, Florida, United States of America",1985-06-13,American,Latin,"5'1""",105.6,34,D,34D-25-32,Brown,Brown,2006-present,"'Layla', 'Leila Star', 'Lela Starr', 'Starr'"
Lexi Luna,"Indianapolis, Indiana, United States of America",1989-03-14,American,Caucasian,"5'7""",134.2,34,F,34F-27-39,Brown,Brown,2016-present,'Lexi Lune'
Lexxi Steele,United States of America,1999-02-27,American,Caucasian,"5'4""",121,32,DD,32DD-24-36,Brown,Hazel,2019-present,None
Lexxi Tyler,"Beaverton, Oregon, United States of America",1983-05-16,American,Latin,"5'8""",121,34,E,34E-25-34,Blonde,Brown,2005-2012,"'Lexi Tyler', 'Lexxxi Tyler', 'Lexxy Tyler'"
Lexxxi Nicole,United States of America,1984-12-29,American,Caucasian,"5'3""",105.6,34,DD,34DD-24-34,Black,Brown,2014-present,"'Elena', 'Lexi', 'Lexi Candy', 'Lexi Nicole', 'Sonja'"
Lexxxy Belle,"Quebec, Canada",1988-01-01,Canadian,Caucasian,"5'5""",110,32,F,32F-23-33,Blonde,Brown,2015-2017,"'Lexie', 'lexxi bell'"
Lezley Zen,"Charleston, South Carolina, United States of America",1974-02-19,American,Caucasian,"5'6""",110,34,D,34D-24-35,Black,Hazel,1998-present,"'Lesley Zen', 'Leslie Zen', 'Lezly Zen'"
Liandra Andrade,"São Paulo, Brazil",1992-04-01,Brazilian,Latin,"5'5""",112.2,34,D,34D-24-38,Black,Brown,2014-present,'Lyandra Andrade'
Lichelle Marie,"Prairie Grove, Arkansas, United States of America",1981-11-24,American,Caucasian,"5'8""",125,36,E,36E-23-33,Blonde,Blue,2001-present,"'Lachelle Marie', 'Sherold Boyle'"
Lilian Stone,"California, United States of America",1992-09-18,American,Caucasian,"5'6""",127.6,34,G,34G-24-36,Brown,Hazel,2018-present,'Lillian Stone'
Lilith Lust,"Maryland, Delaware, United States of America",1990-11-06,American,Caucasian,"5'0""",121,34,DD,34DD-28-34,"Blonde, Red",Green,2013-2018,"'Ariel Kline', 'Lilith Lust', 'Rainia Bella', 'Rainia Belle', 'Rainia Fair'"
Lilli Vanilli,"Heidelberg, Baden-Wuerttemberg, Germany",1991-12-08,German,Caucasian,"5'4""",132,34,D,34D-35-37,Blonde,Blue,2017-2018,'Lilli Vanilli'
Lily Lane,"California, United States of America",1987-08-12,American,Latin,"5'4""",112.2,32,E,32E-26-36,Black,Brown,2012-present,'Lilly Lane'
Linsey Dawn McKenzie,,1978-08-07,,,,,,,,,Green,,"'LDM', 'Linsey', 'Linsey Dawn MacKenzie', 'Linsie Dawn McKenzie', 'Linzi'"
Linzee Ryder,"Detroit, Michigan, United States of America",1984-05-02,American,Caucasian,"5'5""",110,32,E,32E-25-32,Blonde,Blue,2019-present,'Linzee Detroit'
Lisa Ann,"Easton, Pennsylvania, United States of America",1972-05-09,American,Caucasian,"5'1""",112.2,38,E,38E-20-34,Brown,Brown,1994-present,"'Lee Ann Vision', 'Lisa Ann Vision', 'Lisa Anne', 'Nailin Palin', 'Zina Sunshine'"
Lola James,Dominican Republic,1989-03-05,Dominican,Latin,"5'5""",129.8,32,D,32D-25-37,Brown,Brown,2010-present,None
Lolly Ink,"Riverside County, California, United States of America",1983-07-23,American,Caucasian,"5'4""",114.4,34,F,34F-24-33,Blonde,Blue,2012-present,'Lolly Foxx'
Louise Jenson,"Brighton, England, United Kingdom",1990-07-24,British,Caucasian,"5'5""",110,30,HH,30HH-24-30,Black,Brown,2011-present,None
Loulou,"Guildford, England, United Kingdom",1987-09-29,British,Caucasian,"4'9""",99,32,G,32G-26-28,Blonde,Green,2010-2015,"'Lou Lou Davies', 'LouLou', 'LouLou Petite', 'Louise Davies'"
Luna Skye,"Los Angeles, California, United States of America",1997-10-04,American,Caucasian,"5'6""",130,32,DD,32DD-26-38,Blonde,Brown,2010-present,None
Luna Star,"Havana, Cuba",1989-05-25,Cuban,Latin,"5'3""",112.2,34,D,34D-24-35,Black,Brown,2012-present,'Luna Starr'
Madelyn Marie,"West Point, New York, United States of America",1987-01-29,American,Caucasian,"5'7""",125.4,32,E,32E-26-36,Brown,Brown,2008-2013,"'Kendall M. Sartiano', 'Madeline Marie'"
Madison Ivy,"Munich, Bayern, Germany",1989-06-14,German,Caucasian,"4'11""",88,32,DD,32DD-24-32,Brown,Blue,2007-present,"'Clorisa Briggs', 'Ivy Madison'"
Madison Scott,"Tempe, Arizona, United States of America",1988-07-13,American,Caucasian,"5'1""",90.2,32,DD,32DD-20-26,Blonde,Hazel,2007-2015,"'Lailani', 'Maddison', 'Maddy', 'Madison', 'Madison Star', 'Madisson Scott', 'Phoenix'"
Makayla Cox,"Burnaby, British Columbia, Canada",1982-06-18,Canadian,Caucasian,"5'7""",129.8,34,D,34D-28-38,Brown,Brown,2004-present,"'Kaya Cox', 'Makay La Coxx', 'Makayla Coxxx', 'McKayla', 'McKayla Cox', 'McKayla Coxxx', 'Mikalya', 'Mikalya Cox', 'Mikalya Coxxx'"
Mareike Fox,"Dusseldorf, Nordrhein-Westfalen, Germany",1988-01-19,German,Caucasian,"5'5""",110,32,F,,Blonde,Blue,2015-present,'MareikeFox'
Marica Chanelle,"Schio, Veneto, Italy",1995-09-13,Italian,Caucasian,"5'9""",132,34,E,34E-25-38,Blonde,Grey,2018-present,"'Marica Chanelle', 'Marica Channel', 'Marika Chanelle'"
Marta La Croft,"Málaga, Andalusia, Spain",1990-03-18,Spanish,Latin,"5'6""",129.8,36,F,36F-24-36,Black,Black,2013-present,"'Alexandra Sivroskya', 'Marta Croft', 'Marta LaCroft', 'Marta Lacroft'"
Mary Jean,"Bronx, New York, United States of America",1989-08-19,American,Latin,"5'4""",116.6,32,E,32E-24-36,Black,Brown,2013-2019,'Maryjean'
Mason Moore,"Granada Hills, California, United States of America",1985-02-01,American,Caucasian,"5'4""",140.8,34,DD,34DD-26-34,Black,Brown,2008-2015,'Miss Ryder'
Maxie Rhoads,,,United Kingdom,Caucasian,,,36,G,36G-24-36,Brown,Blue,,None
McKenzie Lee,"Leicester, England, United Kingdom",1979-05-16,British,Caucasian,"5'4""",105.6,32,E,32E-24-32,Brown,Brown,1998-present,"'McKinzie Lee', 'Paula McQuone'"
Megan Inky,Romania,1984-07-08,Romanian,Caucasian,"5'4""",110,36,DD,36DD-25-36,Black,Blue,2017-present,'Megan T'
Megan Rain,"Palm Springs, California, United States of America",1996-06-13,American,Caucasian,"5'1""",94.6,32,D,32D-27-35,Black,Green,2014-present,'Kiana Coleman'
Melissa Lynn,"Ohio, Florida, United States of America",1979-12-22,American,Caucasian,"5'4""",110,34,E,34E-26-34,Black,Brown,2017-present,None
Melody Star,"Barcelona, Catalonia, Spain",1989-06-21,Spanish,Latin,"5'5""",114.4,34,D,34D-23-35,Blonde,Blue,2008-present,'Sara Domenech'
Mia Lelani,United States of America,1982-10-14,American,Asian,"5'4""",125.4,34,D,34D-28-37,Black,Brown,2006-present,"'Mia Le Lani', 'Mia Leilani'"
Mia Linz,"São Paulo, Brazil",1992-02-18,Brazilian,Latin,"5'3""",118.8,36,E,36E-25-28,Brown,Brown,2017-present,"'Mia Ling', 'Mia Lins', 'Mya Lins'"
Michelle McLaren,"Portland, Oregon, United States of America",1982-07-15,American,Caucasian,"5'10""",129.8,34,E,34E-26-36,Blonde,Blue,2005-present,"'Michelle Mc Clarin', 'Michelle McClaren', 'Michelle Mclarren', 'Michelle Mclauren'"
Michelle Thorne,"Bristol, England, United Kingdom",1979-08-02,British,Caucasian,"5'3""",99,32,E,32E-22-32,Blonde,Brown,1999-present,"'Heather', 'Michelle', 'Michelle Thorn', 'Michelle Thorpe', 'Tasha'"
Mila Elaine,"München, Bayern, Germany",1991-12-24,German,Caucasian,"5'3""",103,34,E,,Blonde,Blue,2016-present,None
Mila Garcia,"Medellin, Colombia",1991-04-24,Colombian,Latin,"4'11""",109,,,37-22-23,Black,Brown,2018-present,None
Misha Maver,"Moscow, Russia",1994-07-16,Russian,Caucasian,"5'4""",121,34,D,34D-25-38,Blonde,Blue,2018-present,None
Misslexa,,,,,,,,,,,,,nan
Misty Quinn,"New York City, New York, United States of America",1994-09-13,American,Latin,"5'3""",105.6,34,D,34D-24-36,Black,Brown,2019-present,"'Andreina Simet', 'Kosame Dash'"
Monique Alexander,"Vallejo, California, United States of America",1982-05-26,American,Caucasian,"5'5""",105.6,32,C,32C-24-34,Auburn,Hazel,2001-present,"'Alexandra', 'Briana Burke', 'Monique', 'Monique Richards', 'Monique Sunshine', 'Savannah Moore'"
Moriah Mills,"Queens, New York, United States of America",1991-04-07,American,Black,"5'4""",132,34,DDD,34DDD-25-43,Black,Grey,2017-present,'Raven Athena'
Mya Nichole,"Indianapolis, Indiana, United States of America",1984-06-23,American,Caucasian,"5'5""",110,32,E,32E-23-36,Brown,Brown,2006-2016,"'Adrianna Luxe', 'I Love You Mya', 'Maya Nicole', 'Mya Mckay', 'Mya Nicole', 'Mya Nicole McKay'"
Nadia Hilton,"Oswego, New York, United States of America",1983-06-03,American,Caucasian,"5'2""",121,34,DD,34DD-24-34,Blonde,Blue,2005–2015,"'Nadia Cohen', 'Naudia Hilton'"
Natasha Starr,"Ostrów Mazowiecka, Poland",1987-10-10,Polish,Caucasian,"5'7""",134.2,34,D,34D-28-34,Blonde,Blue,2011-present,"'Magdalena Tyszka', 'Natasha Nicole Starr', 'Natasha Star', 'Polish Princess'"
Nathaly Cherie,Czech Republic,1992-01-25,Czech,Caucasian,"5'6""",132,34,E,34E-28-37,Blonde,Blue,2012-present,"'Barbie Brittany', 'Natalie Cherie', 'Natalie Cherrie', 'Nataly Cherie', 'Nataly Chery', 'Nathaly Cherrie', 'Nathaly Cherry', 'Nathaly Heaven', 'Nathaly Heavenly', 'Nicole Heavenly', 'Nikky Jaxx'"
Nicole Aniston,"San Diego, California, United States of America",1987-09-09,American,Caucasian,"5'3""",121,34,D,34D-22-36,Blonde,Blue,2010-present,'Nicole B.'
Nicole Rey,"Florida, United States of America",1994-11-04,American,Latin,"5'1""",121,34,C,34C-26-36,Brown,Brown,2017-present,"'Nicole Ray', 'Nicole Ryan'"
Nicolette Shea,"Las Vegas, Nevada, United States of America",1986-11-18,American,Caucasian,"5'10""",129.8,36,D,36D-22-36,Blonde,Green,2011-present,None
Nikita Von James,"Smolensk, Smolensk Oblast, Russia",1977-04-11,Russian,Caucasian,"5'4""",110,34,D,34D-25-36,Blonde,Green,2009-present,"'Nikita James', 'Nikita Jaymes', 'Nikita Loren', 'Nikkita James'"
Nikki Benz,"Mariupol, Ukraine",1981-12-11,Canadian,Caucasian,"5'4""",114.4,34,E,34E-24-36,Blonde,Hazel,2002-present,"'Niki Benz', 'Nikke Benz', 'Nikki', 'Nikkie Benz', 'Nikky Benz', 'Swenz'"
Nikki Delano,"New York City, New York, United States of America",1986-04-12,American,Caucasian,"5'2""",110,34,E,34E-23-34,Blonde,Green,2011-present,"'Audra Star', 'Audry Star', 'Nikki Delan'"
Nikki Monroe,"Miami, Florida, United States of America",1988-08-08,American,Caucasian,"5'8""",121,34,DD,34DD-28-34,Blonde,Blue,2010–2012,None
Nina Elle,"Ludwigshafen am Rhein, Rhineland-Palatinate, Germany",1980-04-28,German,Caucasian,"5'5""",114.4,34,E,34E-24-36,Blonde,Hazel,2013-present,None
Nina Milano,Australia,1992-08-01,Australian,Caucasian,"5'6""",140.8,38,E,38E-28-38,Brown,Hazel,2019-present,None
Olivia Austin,"Seattle, Washington, United States of America",1986-08-19,American,Caucasian,"5'7""",129.8,34,DD,34DD-26-36,Blonde,Blue,2014-present,None
Olivia Berzinc,,1982-01-16,,,,,,,,,Brown,,None
Olivia Fox,United States of America,1988-12-31,American,Caucasian,"5'9""",126,34,DDD,,Blonde,Brown,2016-present,None
Pamela Balian,United States of America,1984-01-01,American,Caucasian,"5'4""",137,34,DD,34DD-24-38,Blonde,Blue,2014-2016,None
Pamela Kayne,"Montreal, Quebec, Canada",1984-01-17,Canadian,Caucasian,"5'6""",125,34,D,34D-25-35,Brown,Brown,2003-2010,"'Fahima', 'Fehima Perez', 'Pamela', 'Pamela Kayne'"
Parker Swayze,"Georgia, United States of America",1984-11-30,American,Caucasian,"5'3""",121,32,F,32F-21-36,Blonde,Blue,2016-2018,None
Patty Michova,"Trenčín, Region of Trenčín, Slovakia",1992-10-26,Slovak,Caucasian,"5'5""",125.4,32,F,32F-26-34,Black,Brown,2013-2018,None
Payton Preslee,Poland,1995-10-30,Polish,Caucasian,"5'3""",129.8,36,F,36F-24-36,Black,Green,2019-present,'Ivy Rose'
Peneloppe Ferre,"Budapest, Hungary",1992-10-08,Hungarian,Caucasian,"5'5""",121,34,D,34D-23-36,Brown,Brown,2011-present,"'Anna Varga Augusztina', 'Penelope Ferre', 'Sexy Kiscica', 'SexyAnna18'"
Peta Jensen,"Zephyrhills, Florida, United States of America",1990-12-24,American,Caucasian,"5'6""",123.2,34,F,34F-26-36,Brown,Green,2014-present,'Scarlett Reid'
Portia Harlow,"California, United States of America",1984-09-14,American,Caucasian,"5'3""",125.4,32,DDD,32DDD-26-35,Black,Brown,2015-present,'Lexi'
Portia Paris,"Sydney, Australia",1990-11-30,Australian,Caucasian,"5'4""",110,32,G,32G-26-32,Blonde,Blue,2020-present,"'Lust Adventurer', 'Portia Paris', 'Sarah Marie Summer'"
Pretty Nina,,1990-02-18,,,,,,,,,Brown,,None
Princess Jas,"Bournemouth, England, United Kingdom",1988-01-24,British,Caucasian,"5'4""",112,32,E,32E-24-36,Black,Brown,2018-present,"'Princess Jasmin', 'princessjas4ux'"
Priscilla Salerno,"Salerno, Campania, Italy",1980-07-27,Italian,Caucasian,"5'7""",118.8,38,E,38E-37-24,Brown,Green,2003-present,"'Fortunata Ciaco', 'Priscilla Salermo'"
Priya Rai,"New Delhi, Delhi, India",1977-12-25,Indian,Asian,"5'3""",99,34,F,34F-25-35,Black,Brown,2007-2017,"'Priya Anjali Rai', 'Priya Anjeli Rai', 'Priya Rai Anjali', 'Priya Rai Anjeli', 'Rira Raid'"
Priya Young,,,,,,,,,,,,,nan
Puma Swede,"Stockholm, Stockholm County, Sweden",1976-09-13,Swedish,Caucasian,"5'10""",123.2,32,F,32F-25-35,Blonde,Blue,2004-present,"'Johanna', 'Johanna Jussinniemi', 'Johanna Plaidski', 'Ms Swede', 'Puma', 'Puma Sweede'"
Pure Charlie,,,,,,,,,,,,,nan
Pure Dream,,,American,Caucasian,"5'7""",115,34,DD,,Blonde,Brown,2015-present,"'BunchOfPervs', 'Exquisite Goddess', 'ExquisiteGoddess'"
Rachael Cavalli,"Indianapolis, Indiana, United States of America",1984-07-08,American,Caucasian,"5'9""",147.4,36,DD,36DD-26-36,Blonde,Hazel,2017-present,"'Crystal Nicole', 'Rachael Cavali', 'Rachel Cavalli'"
Rachel Evans,"Prague, Czech Republic",1985-07-20,Czech,Caucasian,"5'6""",123.2,36,DD,36DD-23-34,Blonde,Hazel,2003-2018,"'Busty Rachel', 'Jackie Cudna', 'Katka', 'Rachel', 'Rachel Evens', 'Rachel Honey', 'Radka', 'Radka Radcliffe'"
Rachel Rampage,"Vancouver, British Columbia, Canada",1989-09-14,Canadian,Caucasian,"5'11""",141,32,DD,32DD-28-34,Blonde,Blue,2017-2018,None
Rachel Roxxx,"San Antonio, Texas, United States of America",1983-03-02,American,Caucasian,"5'0""",101.2,34,D,34D-23-34,Brown,Blue,2007–2017,"'Rachel Lyn', 'Rachel Lynn', 'Rachel Roxx'"
Rachel Starr,"Burleson, Texas, United States of America",1983-11-26,American,Caucasian,"5'4""",121,34,D,34D-25-34,Brown,Blue,2007-present,"'Rachael Star', 'Rachel Star', 'Rachell Starr'"
Rachele Richey,"Granbury, Texas, United States of America",1994-12-20,American,Caucasian,"5'2""",105.6,34,D,34D-26-30,Blonde,Hazel,2014-present,"'Ashley Wisdom', 'Rachel Richey', 'Rachelle Richey'"
Raven Bay,"Tampa, Florida, United States of America",1990-12-22,American,Caucasian,"5'1""",114.4,34,DD,34DD-25-34,Brown,Brown,2012-present,"'Alexis Bay', 'Raven Bays'"
Reagan Foxx,"Phoenix, Arizona, United States of America",1975-12-31,American,Caucasian,"5'9""",140.8,34,F,34F-26-36,Brown,Blue,2016-present,'Kerrington Cruz'
Rebeca Linares,"San Sebastian, Guipuzcoa, Spain",1983-06-13,Spanish,Caucasian,"5'3""",110,34,D,34D-26-34,Black,Brown,2005-2016,"'FTV Rebekka', 'Rebeca', 'Rebecca Linares', 'Rebekka', 'Veronica Linares'"
Rebecca More,"Heathrow, England, United Kingdom",1980-08-07,British,Caucasian,"5'7""",132,35,F,35F-26-32,Blonde,Blue,2011–present,'Rebecca Moore'
Ree Petra,"London, England, United Kingdom",1985-12-27,British,Caucasian,"5'3""",121,32,F,32F-24-28,Blonde,Blue,2008-2016,None
Reena Sky,"San Francisco, California, United States of America",1983-10-16,American,Caucasian,"5'2""",121,36,DD,36DD-27-35,Brown,Brown,2006-present,"'Reena', 'Reena Joymii', 'Reena Nubiles', 'Reena Skye', 'Staci', 'Staci Marcelle'"
Reya Sunshine,"Florida, United States of America",1990-05-19,American,Caucasian,"5'3""",120,30,G,30G-26-26,Brown,Brown,2015-present,None
Richelle Ryan,"Rochester, New York, United States of America",1985-07-11,American,Caucasian,"5'4""",125.4,34,F,34F-25-42,Brown,Brown,2006-present,"'Rachelle', 'Rachelle Ryaan'"
Rikki Six,"Riverside, California, United States of America",1990-12-18,American,Caucasian,"5'7""",103.4,34,DD,34DD-24-33,Blonde,Blue,2012-present,"'Bailey Sky', 'Bailey Skye', 'Rikki Sixx'"
Riley Evans,"Zephyrhills, Florida, United States of America",1986-06-03,American,Caucasian,"5'6""",121,34,E,34E-24-36,Blonde,Blue,2005-2019,'Riley Evens'
Riley Steele,"Escondido, California, United States of America",1987-08-26,American,Caucasian,"5'7""",116.6,36,C,36C-24-36,Blonde,Blue,2008-present,'Brittni Anne Palmer'
Robbin Banx,"Camden Town, England, United Kingdom",1975-02-15,British,Caucasian,"5'6""",121,36,C,36C-26-36,Blonde,Hazel,2018-present,"'Zoe Gregory', 'Zoe Gregory-Paul'"
Romi Rain,"Boston, Massachusetts, United States of America",1988-01-12,American,Caucasian,"5'5""",121,34,E,34E-24-34,Black,Hazel,2012-present,None
Rose Monroe,"Maracaibo, Venezuela",1989-10-14,Venezuelan,Latin,"5'5""",134,F,F,32F-27-43,Brown,Brown,2012-present,"'Rose', 'Rose Lane', 'Rose Monroe XXX'"
Roxxy Lea,United Kingdom,,British,Caucasian,"5'4""",112.2,34,D,34D-24-31,Brown,Brown,2016-2017,'Roxxxy Lea'
Ryan Conner,"Santa Ana, California, United States of America",1971-02-12,American,Caucasian,"5'8""",160,42,E,42E-27-38,Blonde,Green,1999-present,'Ryan Connor'
Sabrina Cyns,"Huntington Beach, California, United States of America",1996-03-04,American,Caucasian,"5'5""",118.8,32,E,32E-26-36,Red,Brown,2016-2017,None
Sabrina Sabrok,"Buenos Aires, Argentina",1976-03-04,Argentine,Latin,"5'9""",125,30,O,30O-21-30,Blonde,Blue,1994-present,'Lorena Fabiana Colotta'
Samantha Saint,"Memphis, Tennessee, United States of America",1987-06-08,American,Caucasian,"5'9""",130,34,DD,34DD-24-36,Blonde,Green,2010-present,None
Sandee Westgate,"Sacramento, California, United States of America",1979-05-05,American,Caucasian,"5'6""",107.8,34,DD,34DD-23-34,Brown,Brown,2004-2017,'Sandra Westgate'
